Date,weeklyExports,accumulatedExports,outstandingSales,grossNewSales,Commodity,Country
2010-08-01,1708.0,1708.0,32736.0,19867.0,Cotton,India
2010-09-01,1123.0,2831.0,71081.0,39501.0,Cotton,India
2010-10-01,8484.0,11315.0,77311.0,14714.0,Cotton,India
2010-11-01,2725.0,14040.0,78814.0,10388.0,Cotton,India
2010-12-01,27619.0,41659.0,65141.0,14410.0,Cotton,India
2011-01-01,32553.0,74212.0,41398.0,8960.0,Cotton,India
2011-02-01,12194.0,86406.0,54218.0,25064.0,Cotton,India
2011-03-01,,,,,Cotton,India
2011-04-01,,,,,Cotton,India
2011-05-01,,,,,Cotton,India
2011-06-01,,,,,Cotton,India
2011-07-01,,,,,Cotton,India
2011-08-01,,,,,Cotton,India
2011-08-01,1041.0,1041.0,113949.0,6544.0,Cotton,India
2011-09-01,2232.0,3273.0,112597.0,882.0,Cotton,India
2011-10-01,880.0,4153.0,111717.0,0.0,Cotton,India
2011-11-01,10094.0,14247.0,101361.0,1540.0,Cotton,India
2011-12-01,31641.0,45888.0,67734.0,2664.0,Cotton,India
2012-01-01,23379.0,69267.0,53072.0,11701.0,Cotton,India
2012-02-01,15632.0,84899.0,62019.0,24988.0,Cotton,India
2012-03-01,,,,,Cotton,India
2012-04-01,,,,,Cotton,India
2012-05-01,,,,,Cotton,India
2012-06-01,,,,,Cotton,India
2012-07-01,,,,,Cotton,India
2012-08-01,,,,,Cotton,India
2012-08-01,43635.0,43635.0,88769.0,87302.0,Cotton,India
2012-09-01,45090.0,88725.0,39962.0,10009.0,Cotton,India
2012-10-01,14944.0,103669.0,25961.0,963.0,Cotton,India
2012-11-01,10896.0,114565.0,34333.0,19418.0,Cotton,India
2012-12-01,,,,,Cotton,India
2013-01-01,,,,,Cotton,India
2013-02-01,,,,,Cotton,India
2013-03-01,,,,,Cotton,India
2013-04-01,,,,,Cotton,India
2013-05-01,,,,,Cotton,India
2013-06-01,,,,,Cotton,India
2013-07-01,,,,,Cotton,India
2013-08-01,7925.0,7925.0,42810.0,15985.0,Cotton,India
2013-08-01,,,,,Cotton,India
2013-09-01,7597.0,15522.0,46817.0,10995.0,Cotton,India
2013-10-01,5358.0,20880.0,69183.0,27497.0,Cotton,India
2013-11-01,,,,,Cotton,India
2013-12-01,,,,,Cotton,India
2014-01-01,,,,,Cotton,India
2014-02-01,,,,,Cotton,India
2014-03-01,,,,,Cotton,India
2014-04-01,,,,,Cotton,India
2014-05-01,,,,,Cotton,India
2014-06-01,,,,,Cotton,India
2014-07-01,,,,,Cotton,India
2014-08-01,3418.0,3418.0,45674.0,9628.0,Cotton,India
2014-09-01,3780.0,7198.0,80993.0,37411.0,Cotton,India
2014-10-01,7730.0,14928.0,78545.0,5282.0,Cotton,India
2014-11-01,2691.0,17619.0,144406.0,68552.0,Cotton,India
2014-12-01,9553.0,27172.0,160675.0,25836.0,Cotton,India
2015-01-01,33724.0,60896.0,147975.0,29324.0,Cotton,India
2015-02-01,44253.0,105149.0,131276.0,27740.0,Cotton,India
2015-03-01,35570.0,140719.0,113142.0,20293.0,Cotton,India
2015-04-01,57090.0,197809.0,78911.0,22895.0,Cotton,India
2015-05-01,45302.0,243111.0,59342.0,26102.0,Cotton,India
2015-06-01,41830.0,284941.0,26072.0,9093.0,Cotton,India
2015-07-01,16951.0,301892.0,9576.0,1194.0,Cotton,India
2015-08-01,702.0,302594.0,8868.0,0.0,Cotton,India
2015-08-01,10089.0,10089.0,19496.0,14769.0,Cotton,India
2015-09-01,8119.0,18208.0,27830.0,16467.0,Cotton,India
2015-10-01,11161.0,29369.0,28133.0,12687.0,Cotton,India
2015-11-01,7612.0,36981.0,28477.0,7533.0,Cotton,India
2015-12-01,18271.0,55252.0,52186.0,44654.0,Cotton,India
2016-01-01,22385.0,77637.0,97400.0,67599.0,Cotton,India
2016-02-01,23768.0,101405.0,117890.0,44263.0,Cotton,India
2016-03-01,81890.0,183295.0,77573.0,50040.0,Cotton,India
2016-04-01,39851.0,223146.0,72028.0,34426.0,Cotton,India
2016-05-01,36961.0,260107.0,69321.0,41767.0,Cotton,India
2016-06-01,40716.0,300823.0,141264.0,118459.0,Cotton,India
2016-07-01,80285.0,381108.0,110720.0,49878.0,Cotton,India
2016-08-01,6218.0,387326.0,106438.0,1936.0,Cotton,India
