Date,None,D0,D1,D2,D3,D4
20131029,44.13,55.87,34.7,18.07,2.83,0.3
20131022,45.04,54.96,35,18.12,2.82,0.3
20131015,45.24,54.76,36.71,18.13,2.75,0.29
20131008,42.23,57.77,38.59,19.6,2.91,0.29
20131001,39.57,60.43,41.21,20.7,3.06,0.29
20130924,38.05,61.95,45.46,25.33,4.33,0.31
20130917,35.9,64.1,48.19,28.35,6.85,0.43
20130910,36.25,63.75,50.69,33.28,10.15,1.25
20130903,38.28,61.72,50.1,32.4,9.86,1.25
20130827,37.65,62.35,50.04,33.37,10.54,1.32
20130820,40.02,59.98,45.62,32.23,10.54,1.32
20130813,42.7,57.3,45.26,31.58,11.77,2.03
20130806,42.6,57.4,45.5,32.32,11.98,2.77
20130730,42.76,57.24,45.64,32.44,11.8,3.17
20130723,41.7,58.3,46.55,33.37,12.54,3.83
20130716,45.6,54.4,46.13,34.28,13.34,4.34
20130709,47.62,52.38,44.86,33.61,13.84,4.67
20130702,49.11,50.89,44.06,32.95,13.57,4.68
20130625,48.67,51.33,43.84,32.04,13.14,4.37
20130618,46.73,53.27,44.78,30.04,12.61,4.38
20130611,46.93,53.07,44.13,28.44,11.36,4.69
20130604,45.01,54.99,44.11,28.5,11.44,4.79
20130528,43.12,56.88,44.34,29.57,11.75,4.75
20130521,39.06,60.94,46.07,31.16,12.64,4.94
20130514,38.27,61.73,47.67,32.3,13.64,4.4
20130507,37.58,62.42,48.06,32.89,14.12,4.38
20130430,39.88,60.12,46.9,32.73,13.96,3.4
20130423,39.79,60.21,47.34,31.75,14.72,2.59
20130416,38.32,61.68,47.82,32.1,14.57,2.58
20130409,35.35,64.65,50.82,35.13,16.71,3.38
20130402,33.29,66.71,51.92,35.31,17.13,5.2
20130326,34.96,65.04,51.64,35.19,16.86,5.1
20130319,34.76,65.24,51.86,35.45,16.85,5.4
20130312,36.33,63.67,51.38,34.94,16.51,5.28
20130305,34.33,65.67,53.34,36.44,17.04,5.45
20130226,33.62,66.38,54.17,36.35,16.96,5.45
20130219,33.15,66.85,55.82,37.41,18.66,6.66
20130212,34.11,65.89,55.74,37.75,17.71,6.61
20130205,32.03,67.97,56.84,40.13,19.1,6.85
20130129,30.27,69.73,57.68,40.61,19.35,6.37
20130122,30.22,69.78,57.64,40.07,19.31,6.36
20130115,29.85,70.15,58.87,40.3,19.39,6.31
20130108,28.26,71.74,60.26,41.71,20.8,6.7
20130101,27.22,72.78,61.1,42.05,21.31,6.75
20121225,26.15,73.85,61.82,42.46,21.6,6.73
20121218,26.21,73.79,61.79,42.51,21.67,6.64
20121211,26.12,73.88,61.88,42.59,21.07,6.49
20121204,23.84,76.16,62.37,42.22,20.63,6.49
20121127,24.02,75.98,62.66,41.55,20.12,6.39
20121120,26.22,73.78,60.1,37.85,19.05,6.27
20121113,27.55,72.45,58.84,35.98,18.3,6.01
20121106,27.47,72.53,59.49,38.06,19.36,6.18
20121030,27.11,72.89,60.16,38.27,19.04,5.88
20121023,25.64,74.36,61.8,38.64,19.52,5.84
20121016,25.01,74.99,62.39,38.83,19.08,5.84
20121009,23.27,76.73,63.55,39.92,20.15,6.18
20121002,24.1,75.9,64.59,40.07,20.13,6.07
20120925,23.4,76.6,65.45,42.12,21.49,6.12
20120918,21.84,78.16,64.82,41.07,20.75,5.96
20120911,21.47,78.53,64.16,41.81,21.09,6.23
20120904,22.53,77.47,63.4,42.48,21.45,6.14
20120828,22.31,77.69,62.9,42.35,23.18,6.04
20120821,22.72,77.28,63.2,44.04,23.01,6.31
20120814,22.32,77.68,61.78,45.55,23.68,6.26
20120807,21.86,78.14,62.46,46.01,24.14,4.21
20120731,20.62,79.38,62.91,45.58,22.27,3.01
20120724,19.92,80.08,63.86,45.57,20.57,2.38
20120717,19.24,80.76,63.54,42.24,13.53,0.99
20120710,20.01,79.99,60.84,37.19,11.61,0.74
20120703,23.67,76.33,55.96,34.25,10.32,0.6
20120626,27.98,72.02,51.13,30.73,8.54,0.41
20120619,31.21,68.79,46.72,24.27,5.19,0.29
20120612,37.47,62.53,39.68,19.15,3.93,0.29
20120605,36.01,63.99,38.6,18.92,4.6,0.6
20120529,35.98,64.02,37.37,18.94,5.22,0.66
20120522,37.68,62.32,35.3,19.46,5.95,0.95
20120515,45.21,54.79,33.64,18.39,5.71,1.02
20120508,43.89,56.11,35.87,19.64,6.77,1.61
20120501,40.68,59.32,38.18,20.4,6.92,1.93
20120424,40.58,59.42,37.07,19.95,6.65,1.86
20120417,40.56,59.44,36.94,19.6,6.57,1.89
20120410,39.13,60.87,38.34,20.12,6.73,2.05
20120403,39.87,60.13,36.76,19.64,6.65,1.92
20120327,43.57,56.43,35.93,19.4,6.72,2.15
20120320,43.92,56.08,38.31,19.19,6.88,2.21
20120313,41.76,58.24,39.77,20.86,7.29,2.41
20120306,42.81,57.19,39.02,19.3,7.24,2.44
20120228,42.48,57.52,38.66,19.5,7.63,2.5
20120221,42.76,57.24,37.93,17.34,7.64,2.43
20120214,42.67,57.33,37.82,17.97,9.32,3.22
20120207,42.98,57.02,37.87,18.01,9.17,3.14
20120131,41.84,58.16,37.87,18.41,9.6,3.19
20120124,41.8,58.2,36.21,18.44,9.8,2.74
20120117,43.06,56.94,32.52,18.76,10.21,2.77
20120110,46.29,53.71,32.55,18.83,9.76,2.63
20120103,50.41,49.59,31.9,18.83,10.18,3.32
20111227,50.89,49.11,28.49,18.95,10.01,3.31
20111220,57.25,42.75,27.54,19.37,11.17,4.38
20111213,57.13,42.87,28.04,20.85,12.86,4.59
20111206,59.28,40.72,28.17,21.04,13.82,4.8
20111129,58.96,41.04,29.35,21.9,14.97,5.98
20111122,56.96,43.04,31.18,23.2,16.51,8.11
20111115,56.09,43.91,31.89,23.99,17.22,8.7
20111108,55.82,44.18,33.16,23.99,17.51,8.78
20111101,56.97,43.03,32.56,24.35,17.73,8.86
20111025,58.95,41.05,30.26,23.95,17.26,9.55
20111018,59.33,40.67,29.84,23.69,17.44,9.91
20111011,57.83,42.17,30.47,23.85,17.12,9.76
20111004,55.13,44.87,30,23.76,18,11.69
20110927,56.45,43.55,29.13,23.44,17.8,11.37
20110920,57.22,42.78,30.46,23.64,17.99,11.34
20110913,55.36,44.64,30.86,24.1,18.54,11.75
20110906,56.53,43.47,30,23.37,18.05,11.2
20110830,54.07,45.93,32.83,24.75,18.27,11.21
20110823,54.81,45.19,30.95,23.43,17.24,11.14
20110816,55.14,44.86,31,23.43,17.37,10.83
20110809,55.01,44.99,32.86,24.74,18.48,11.47
20110802,54.99,45.01,32.34,25.18,18.29,10.92
20110726,59.11,40.89,29.49,23.86,18.19,11.05
20110719,62.8,37.2,28.41,23.22,18.03,10.9
20110712,64.33,35.67,28.7,23.69,18.67,11.96
20110705,62.63,37.37,29.28,23.58,18.61,11.77
20110628,63.03,36.97,28.08,23.28,18.38,11.94
20110621,67.29,32.71,27.29,22.36,18,11.84
20110614,66.95,33.05,27.12,21.79,16.42,9.03
20110607,67.68,32.32,26.77,21.31,15.74,7.8
20110531,68.95,31.05,25.56,20.69,14.68,6.26
20110524,68.68,31.32,25.47,20.25,13.46,5.62
20110517,67.69,32.31,26.35,20.68,13.18,6.04
20110510,66.2,33.8,26.42,20.53,12.48,5.94
20110503,66.23,33.77,26.39,19.25,11.66,3.12
20110426,65.7,34.3,26.58,18.49,10.86,1.66
20110419,63.3,36.7,27.4,18.98,9.87,1.42
20110412,62.58,37.42,28.48,18.31,9,0.93
20110405,62.46,37.54,28.75,18.17,8.75,0.42
20110329,61.76,38.24,28.14,18.22,6.41,0
20110322,60.69,39.31,27.33,14.91,4.77,0
20110315,60.9,39.1,25.92,13.04,3.35,0
20110308,59.25,40.75,27.48,12.56,2.68,0
20110301,57.03,42.97,27.92,12.46,2.3,0
20110222,56.18,43.82,28.22,11.43,2.07,0
20110215,55.19,44.81,24.94,9.6,1.43,0
20110208,56.64,43.36,24.27,9.64,1.43,0
20110201,57.46,42.54,24.1,10.57,1.61,0
20110125,58.19,41.81,24.03,8.95,2.07,0
20110118,59.28,40.72,22.94,7.96,2.18,0
20110111,60.58,39.42,23.14,7.65,2.37,0
20110104,60.5,39.5,21.74,8.5,2.6,0
20101228,59.06,40.94,23.75,9.06,2.36,0
20101221,58.48,41.52,23.34,8.38,1.95,0
20101214,57.66,42.34,19.8,7.15,1.41,0
20101207,57.37,42.63,17.81,6.97,1.29,0
20101130,60.26,39.74,16.67,6.03,0.78,0
20101123,61.01,38.99,17.11,6.41,1.16,0
20101116,60.02,39.98,16.52,5.98,1.26,0
20101109,61.47,38.53,16.51,6.43,1.37,0
20101102,61.29,38.71,15.78,6.47,1.34,0
20101026,63.67,36.33,15.25,5.92,1.19,0
20101019,59.79,40.21,14.85,5.61,1.08,0
20101012,61.68,38.32,12.51,4.2,0.52,0
20101005,63.64,36.36,11.72,2.71,0.32,0
20100928,60.05,39.95,13.16,3.09,0.3,0
20100921,63.94,36.06,12.21,2.93,0.3,0
20100914,67.96,32.04,10.3,2.23,0.22,0
20100907,70.31,29.69,9.17,1.83,0.22,0
20100831,68.42,31.58,9.55,1.49,0.14,0
20100824,73.99,26.01,8.01,1.44,0.14,0
20100817,72.4,27.6,8.46,1.66,0.14,0
20100810,74.69,25.31,8.33,1.94,0.3,0
20100803,75.51,24.49,8.18,1.97,0.3,0
20100727,74.3,25.7,8.95,1.84,0.28,0
20100720,72.9,27.1,8.26,1.38,0.25,0
20100713,74.83,25.17,7.83,1.33,0.25,0
20100706,75.2,24.8,7.74,1.38,0.25,0
20100629,75.24,24.76,8.46,1.85,0.39,0
20100622,74.98,25.02,8.88,2.03,0.48,0
20100615,78.65,21.35,8.59,2.27,0.48,0
20100608,78.36,21.64,9.04,2.97,0.48,0
20100601,72.88,27.12,9.81,3.25,0.48,0
20100525,76.25,23.75,9.27,2.48,0.18,0
20100518,74.13,25.87,10.33,2.74,0.03,0
20100511,69.21,30.79,11.34,2.62,0,0
20100504,68.58,31.42,10.87,2.62,0,0
20100427,66.92,33.08,10.66,2.62,0,0
20100420,68.45,31.55,10.11,2.21,0,0
20100413,68.14,31.86,9.13,1.98,0,0
20100406,71.57,28.43,9.1,2,0,0
20100330,73.22,26.78,9.01,2,0,0
20100323,73.01,26.99,9.42,2.21,0,0
20100316,72.23,27.77,9.3,2.29,0,0
20100309,70.37,29.63,9.59,2.32,0,0
20100302,72.32,27.68,8.83,1.56,0,0
20100223,71.85,28.15,9.03,1.59,0,0
20100216,71.44,28.56,8.8,1.48,0,0
20100209,72.72,27.28,7.78,1.36,0,0
20100202,72.78,27.22,8.46,1.39,0,0
20100126,71.95,28.05,9.15,1.6,0.13,0
20100119,69.14,30.86,13.64,5.69,0.36,0
20100112,68.84,31.16,13.8,6.13,0.36,0
20100105,72.07,27.93,13.25,4.22,0.19,0
20091229,72.07,27.93,12.41,4.24,0.19,0
20091222,72.8,27.2,12.51,4.24,0.19,0
20091215,72.64,27.36,12.59,4.44,0.19,0
20091208,72.88,27.12,12.89,5.22,0.4,0
20091201,72.91,27.09,13.11,5.22,0.47,0
20091124,72.89,27.11,13.16,5.29,0.53,0.06
20091117,75.19,24.81,12.65,4.79,0.38,0.08
20091110,73.98,26.02,12.99,4.51,0.38,0.08
20091103,74.71,25.29,12.7,4.53,0.46,0.08
20091027,73.04,26.96,11.93,4.61,0.46,0.08
20091020,69.49,30.51,12.81,5.32,0.68,0.13
20091013,67.25,32.75,14.2,6.88,0.63,0.13
20091006,66.07,33.93,14.58,5.68,0.74,0.13
20090929,63.99,36.01,14.98,6.18,1.3,0.28
20090922,66.72,33.28,15.25,6.18,1.57,0.33
20090915,67.46,32.54,14.64,5.54,1.4,0.3
20090908,65.66,34.34,14.99,5.79,2.2,1.42
20090901,67.78,32.22,14.18,5.95,2.33,1.53
20090825,68.13,31.87,14.13,6.02,2.33,1.66
20090818,66.75,33.25,12.55,6.45,2.57,1.6
20090811,65.11,34.89,12.44,6.4,2.56,1.48
20090804,65.53,34.47,12.96,6.76,2.56,1.48
20090728,64.89,35.11,13.84,6.81,2.18,1.65
20090721,62.35,37.65,14.52,6.83,2.17,1.45
20090714,63.78,36.22,15.12,6.42,2.18,1.58
20090707,65.49,34.51,14.05,6.15,1.97,1.24
20090630,67.3,32.7,13.4,5.51,1.76,0.98
20090623,68.73,31.27,13.03,5.4,1.36,0.72
20090616,65.73,34.27,13.7,5.94,1.46,0.67
20090609,65.46,34.54,14.4,6.15,1.54,0.67
20090602,66.36,33.64,14.29,6.06,1.46,0.57
20090526,69.36,30.64,14.51,5.67,1.53,0.59
20090519,66.28,33.72,17.1,7.21,1.9,0.75
20090512,65.13,34.87,17.11,7.49,2.65,1.31
20090505,60.91,39.09,17.24,7.38,2.12,0.86
20090428,54.75,45.25,18.28,8.06,2.05,0.86
20090421,56.22,43.78,19.33,8.94,2.15,0.99
20090414,54.59,45.41,20.79,9.34,2.29,1.01
20090407,53.44,46.56,22.41,9.41,2.17,0.62
20090331,49.46,50.54,24.72,7.99,2.17,0.62
20090324,42.79,57.21,26.6,8.08,1.9,0.62
20090317,45.88,54.12,24.49,7.82,1.9,0.62
20090310,45.64,54.36,25.71,7.64,2.13,0.85
20090303,47.07,52.93,25.69,8.7,2.29,0.85
20090224,50.36,49.64,24.01,8.99,2.71,0.75
20090217,50.61,49.39,21.1,9.28,2.81,0.75
20090210,49.87,50.13,21.96,9.6,2.88,0.67
20090203,56.21,43.79,21.75,9.48,2.88,0.59
20090127,54.95,45.05,21.07,8.42,2.45,0.37
20090120,58.57,41.43,19.3,6.89,2.26,0.37
20090113,58.24,41.76,19.43,6.46,1.64,0.37
20090106,57.71,42.29,19.2,5.93,1.21,0.37
20081230,58.2,41.8,19.19,6.17,1.24,0.37
20081223,54.32,45.68,20.35,6.68,1.35,0.37
20081216,53.07,46.93,20.86,7.19,1.56,0.37
20081209,52.7,47.3,21.78,8.59,2.21,0.77
20081202,51.76,48.24,21.62,7.91,2.12,0.62
20081125,54.88,45.12,21.39,8.24,2.06,0.51
20081118,56.16,43.84,20.92,8.15,1.77,0.44
20081111,57.63,42.37,21.11,8.59,1.86,0.44
20081104,56.16,43.84,21.66,8.64,1.86,0.19
20081028,58.34,41.66,21.59,9.39,1.7,0.12
20081021,56.46,43.54,22.42,9.47,1.74,0.12
20081014,58.1,41.9,21.12,9.01,1.74,0.12
20081007,54.73,45.27,23.15,9.02,1.73,0.18
20080930,54.1,45.9,23.55,8.9,1.84,0.18
20080923,55.92,44.08,22.84,8.09,1.51,0.18
20080916,54.58,45.42,21.86,7.52,1.38,0.14
20080909,51.86,48.14,22.69,7.86,1.43,0.14
20080902,47.98,52.02,23.91,8.17,1.56,0.14
20080826,46.89,53.11,23.16,9.17,1.91,0.14
20080819,48.87,51.13,25.19,11.58,3.08,0.77
20080812,48.29,51.71,27.25,12.85,4.42,0.96
20080805,46.84,53.16,28.2,12.98,4.35,0.96
20080729,48.92,51.08,28.12,12.6,4.36,0.96
20080722,47.66,52.34,27.42,10.94,3.99,1.22
20080715,51.87,48.13,27.07,10.81,3.47,0.83
20080708,51.86,48.14,27.55,11.88,4.16,0.88
20080701,52.26,47.74,28.07,12.06,4.36,0.79
20080624,51.81,48.19,29.34,11.83,4.54,0.41
20080617,52.13,47.87,30.23,12.1,4.28,0.32
20080610,52.1,47.9,23.7,9.41,2.35,0
20080603,58.46,41.54,23.08,8.57,1.78,0
20080527,60,40,21.53,8.12,1.64,0
20080520,54.3,45.7,25.19,8.64,1.55,0
20080513,53.82,46.18,24.56,8.62,2.09,0
20080506,52.6,47.4,25.61,8.74,2.2,0
20080429,52.03,47.97,27.29,10.49,2.48,0.29
20080422,54.54,45.46,26.92,9.15,2.51,0.29
20080415,54.53,45.47,26.78,9.61,2.36,0.29
20080408,53.83,46.17,26.63,7.99,2.62,0
20080401,52.47,47.53,28.36,9.72,2.85,0
20080325,53.7,46.3,28.27,12.58,2.51,0
20080318,53.38,46.62,29.64,13.62,2.65,0.11
20080311,53.33,46.67,27.2,14.37,2.65,0.38
20080304,51.91,48.09,28.46,15.26,3.28,0.89
20080226,50.09,49.91,29.19,15.05,3.35,1.09
20080219,46.56,53.44,29.71,15.31,4.03,2.06
20080212,43.45,56.55,29.98,15.11,4.08,2.15
20080205,44.05,55.95,31.25,15.4,4.08,2.15
20080129,43.59,56.41,31.57,16.19,4.4,2.29
20080122,44.2,55.8,34.48,17.88,4.16,2.18
20080115,42.31,57.69,35.69,19.19,4.44,2.18
20080108,43.59,56.41,35.41,18.25,4.71,2.51
20080101,45.42,54.58,34.97,20.39,5.75,2.38
20071225,46.38,53.62,34.54,20.78,6.41,3.75
20071218,46.38,53.62,34.68,20.87,6.42,3.75
20071211,44.32,55.68,35.56,20.91,6.42,3.75
20071204,41.44,58.56,36.33,20.68,6.15,3.24
20071127,43.76,56.24,37.42,22.73,8.04,2.88
20071120,39.56,60.44,36.97,22.42,8.06,2.93
20071113,42.19,57.81,36.11,22.52,7.55,2.72
20071106,46.66,53.34,35.56,23,8,2.47
20071030,49.89,50.11,35.07,22.89,7.89,2.2
20071023,45.22,54.78,38.84,26.38,10.59,3.97
20071016,41.45,58.55,43.9,30.22,13.13,4.32
20071009,40.88,59.12,43.75,29.99,12.4,3.53
20071002,40.7,59.3,43.76,29.63,11.99,3.35
20070925,41.29,58.71,43.95,30.03,11.81,2.28
20070918,41.4,58.6,43.82,32.08,12.24,2.31
20070911,40.41,59.59,44.45,32.11,12.31,2.82
20070904,38.48,61.52,45.48,32.33,12.17,2.4
20070828,38.05,61.95,45.74,33.14,12.81,2.78
20070821,35.35,64.65,48.75,33.29,12.5,2.86
20070814,34.79,65.21,48.17,32.85,10.01,2.34
20070807,33.83,66.17,46.95,30.01,8.35,1.53
20070731,35.94,64.06,46.11,28.74,6.78,0.66
20070724,37.53,62.47,43.75,24.93,6.31,0.4
20070717,40.64,59.36,42.33,19.74,6.31,0.51
20070710,41.84,58.16,39.24,19.4,6.33,0.51
20070703,46.17,53.83,34.54,18.52,7.09,0.77
20070626,46.43,53.57,34.34,19.08,7.36,0.92
20070619,47.46,52.54,34.05,19.05,7.54,1.2
20070612,49.43,50.57,33.49,18.28,6.47,0.89
20070605,48.65,51.35,33.78,16.95,6.47,0.38
20070529,49.49,50.51,33.84,17.67,6.89,0
20070522,50.97,49.03,33.8,17.38,6.65,0
20070515,51.23,48.77,32.85,16.01,5.49,0
20070508,53.45,46.55,31.61,14.57,5.12,0
20070501,52.44,47.56,32.51,14.87,4.73,0
20070424,52.47,47.53,31.71,13.88,4.04,0
20070417,52.94,47.06,31.39,13.29,3.45,0
20070410,50.14,49.86,31.8,11.23,3.01,0
20070403,50.62,49.38,30.59,10.46,3.05,0
20070327,44.74,55.26,32.95,14.01,4.68,0
20070320,49.04,50.96,26.92,13.33,5.38,0.18
20070313,50.19,49.81,26.42,13.13,5.48,0.18
20070306,56.02,43.98,23.52,12.11,3.87,0.18
20070227,54.7,45.3,25.2,13.36,4.62,0.18
20070220,51.53,48.47,27.03,14.52,5.4,0.18
20070213,53.25,46.75,26.11,14.65,5.62,0.22
20070206,53.56,46.44,25.21,14.12,5.32,0.21
20070130,56.32,43.68,25.58,13.73,5.32,0.21
20070123,57.93,42.07,24.96,13.36,5.3,0.21
20070116,54.23,45.77,24.97,13.06,6.01,0.31
20070109,51.59,48.41,25.85,13.47,6.28,0.33
20070102,50.01,49.99,25.63,12.62,5.93,0.33
20061226,47.52,52.48,25.53,13.03,5.86,0.48
20061219,46.13,53.87,26.52,13.71,6.2,0.61
20061212,52.24,47.76,25.65,13.51,6.23,0.61
20061205,53.72,46.28,25.13,13.13,6.14,0.17
20061128,57.24,42.76,26.14,13.97,7.42,0.26
20061121,56.51,43.49,26.09,13.51,6.39,0.17
20061114,54.91,45.09,27.55,13.89,5.83,0
20061107,56.23,43.77,27.29,13.89,5.7,0
20061031,52.03,47.97,29.97,15.54,6.04,0
20061024,49.86,50.14,31.56,16.59,6.11,0
20061017,46.86,53.14,33.06,16.35,6.33,0.28
20061010,45.35,54.65,35.1,16.81,6.68,0.24
20061003,44.59,55.41,34.48,16.53,6.81,0.14
20060926,45.12,54.88,32.93,16.3,6.61,0.14
20060919,43.28,56.72,36.79,16.49,7.52,0.3
20060912,42.32,57.68,40.14,22.1,10.29,1.44
20060905,39.05,60.95,41.28,23.25,9.56,1.04
20060829,36.7,63.3,43.95,24.6,9.96,1.74
20060822,35.5,64.5,47.98,29.16,11.04,2
20060815,35.8,64.2,49.16,29.86,11.34,2.01
20060808,36.4,63.6,49.36,30.93,12.09,1.9
20060801,38.54,61.46,48.43,28.69,11.34,1.25
20060725,38.49,61.51,49.96,29.12,11.33,1.25
20060718,39.6,60.4,48.47,25.9,7.34,1.01
20060711,41.64,58.36,40.55,17.44,5.33,0.62
20060704,46.39,53.61,38.04,19.77,8.46,0.94
20060627,47.66,52.34,35.15,19.22,8.99,1.26
20060620,46.48,53.52,33.92,19.76,9.57,1.17
20060613,46.23,53.77,35.17,19.66,9.79,1.17
20060606,51.41,48.59,31.28,18.11,8.27,1.18
20060530,50.64,49.36,29.38,14.88,6.88,1.29
20060523,54.59,45.41,27.18,13.92,7.13,1.36
20060516,53.39,46.61,25.06,12.98,6.84,1.36
20060509,48.37,51.63,26.08,12.41,6.96,1.7
20060502,49.16,50.84,30.02,15.47,5.56,1.82
20060425,48.76,51.24,32.39,18.56,6.78,1.23
20060418,47.57,52.43,32.78,18.7,5.55,1.27
20060411,49.44,50.56,31.6,16.55,3.96,1.12
20060404,47.69,52.31,31.2,15.04,4.08,1.12
20060328,49.07,50.93,31.4,16.74,4.23,1.12
20060321,49.04,50.96,29.94,16.53,5.04,1.12
20060314,54.05,45.95,31.3,18.2,8.07,1.36
20060307,52.3,47.7,31.56,18.03,8.31,1.22
20060228,54.31,45.69,30.11,16.42,7.15,1.22
20060221,58.04,41.96,28.58,15.26,6.59,0.64
20060214,58.24,41.76,28.18,14.27,6.37,0.57
20060207,57.82,42.18,28.51,13.84,6.1,0.61
20060131,56.82,43.18,27.24,11.28,4.35,0.54
20060124,56.51,43.49,25.25,10.81,4.57,0.87
20060117,54.33,45.67,25.49,8.55,3.74,0.76
20060110,54.51,45.49,22.22,8.11,3.66,0.65
20060103,57.05,42.95,21.29,7.49,2.95,0.61
20051227,55.66,44.34,22.6,7.35,2.8,0.54
20051220,53.89,46.11,22.78,7.4,2.8,0.54
20051213,53.39,46.61,22.6,6.72,1.66,0
20051206,54.74,45.26,22.09,6.06,1.39,0
20051129,52.54,47.46,21.28,6.68,1.06,0
20051122,50.15,49.85,22.41,6.69,0.96,0
20051115,48.48,51.52,23.33,5.88,0.96,0
20051108,48.36,51.64,23.97,4.57,0.89,0
20051101,48.54,51.46,21.96,5.48,1,0
20051025,53.45,46.55,20.22,5.3,1,0
20051018,57.33,42.67,18.55,5.11,0.8,0
20051011,56.87,43.13,18.93,5.56,0.84,0
20051004,52.08,47.92,25.04,6.83,0.82,0
20050927,54.15,45.85,23.73,7.19,0.75,0
20050920,51.93,48.07,26.04,9.05,0.99,0
20050913,52.16,47.84,24.5,9.87,1.39,0
20050906,55.75,44.25,22.18,9.51,1.14,0
20050830,58.03,41.97,21.93,8.51,0.84,0
20050823,56.95,43.05,23.46,9.05,0.84,0
20050816,53.5,46.5,25.37,9.78,0.99,0
20050809,48.02,51.98,27.74,11.27,1.83,0
20050802,47.68,52.32,29.3,12.3,1.84,0
20050726,48.49,51.51,28.82,12.04,1.94,0
20050719,51.91,48.09,28.36,11.86,1.5,0
20050712,54.71,45.29,26.45,10.49,1.38,0
20050705,54.08,45.92,26.94,11.43,1.64,0
20050628,52.82,47.18,25.21,9.73,0.71,0
20050621,59.48,40.52,22.96,7.59,0,0
20050614,59.78,40.22,24.07,7.68,0.51,0
20050607,55.24,44.76,26.88,8.85,1.08,0
20050531,54.95,45.05,23.71,10.56,1.89,0
20050524,55.47,44.53,22.26,10.67,1.89,0
20050517,59.88,40.12,21.34,10.43,1.89,0
20050510,52.61,47.39,22.51,13.25,3.29,0
20050503,55.75,44.25,21.78,13.19,4.64,0.67
20050426,64.33,35.67,22.14,13.3,4.75,0.85
20050419,64.28,35.72,22.16,13.99,5.77,1.53
20050412,67.21,32.79,23.43,15.44,5.51,1.49
20050405,63.39,36.61,25.16,16.35,5.68,1.45
20050329,62.59,37.41,25.91,16.52,5.83,1.51
20050322,60.11,39.89,26.82,17.57,6.69,1.57
20050315,59.69,40.31,26.82,17.57,6.69,1.57
20050308,59.94,40.06,26.76,16.79,5.56,1.33
20050301,61.65,38.35,26.7,16.26,5.51,1.32
20050222,60.35,39.65,27.17,15.41,5.84,1.04
20050215,60.8,39.2,27.24,14.2,5.77,1.04
20050208,61.25,38.75,27.93,14.1,5.63,1.04
20050201,60.9,39.1,28.45,14.23,4.87,0.72
20050125,60.83,39.17,24.65,13.52,5,0.72
20050118,60.99,39.01,24.26,13.39,4.8,0.72
20050111,60.09,39.91,24.36,13.64,4.85,0.75
20050104,63.02,36.98,25.64,15.39,5.91,0.77
20041228,61.24,38.76,27.1,16.51,6.53,0.92
20041221,62.66,37.34,27.13,16.58,6.39,0.92
20041214,64.29,35.71,26.88,16.09,6.26,0.9
20041207,63.43,36.57,27.02,16.49,6.49,0.93
20041130,62.82,37.18,26.99,16.72,6.49,0.93
20041123,60.06,39.94,28.44,17.69,7.89,0.93
20041116,60.23,39.77,28.59,17.76,8.01,0.93
20041109,60.9,39.1,28.55,18.09,8.06,0.93
20041102,60.72,39.28,28.59,19.14,8.34,0.93
20041026,58.84,41.16,29.78,19.25,8.34,0.93
20041019,57.79,42.21,30.75,20.68,9.62,0.97
20041012,55.44,44.56,31.61,21.27,9.64,1
20041005,51.58,48.42,32.25,21.58,9.41,0.93
20040928,56.52,43.48,30.51,21.82,9.69,0.93
20040921,58.79,41.21,30.62,21.99,9.7,0.93
20040914,59.55,40.45,30.95,22.18,10.27,0.96
20040907,61.36,38.64,30.98,22.46,10.71,1.18
20040831,59.78,40.22,31.18,22.74,11.54,1.21
20040824,58.35,41.65,31.87,23.05,11.63,1.23
20040817,56.21,43.79,32.85,23.64,11.99,1.26
20040810,54.03,45.97,32.95,23.82,11.35,1.26
20040803,53.81,46.19,33.03,24.04,10.94,1.38
20040727,55.17,44.83,32.65,23.69,10.73,1.38
20040720,52.47,47.53,33.46,24.17,10.62,1.43
20040713,53.65,46.35,33.47,24.19,10.62,1.2
20040706,54.46,45.54,33.74,23.45,10.57,1.2
20040629,54.25,45.75,33.75,23.54,11.04,1.22
20040622,53.25,46.75,36.08,24.29,11.17,1.22
20040615,50.44,49.56,37.59,25.46,12.55,1.28
20040608,47.21,52.79,38.56,25.83,12.67,0.58
20040601,44.3,55.7,39.34,25.74,12.81,0.81
20040525,42.32,57.68,39.93,25.89,12.92,0.81
20040518,46.4,53.6,37.32,25.45,12.15,1.11
20040511,45.16,54.84,39.12,26.97,12.35,1.09
20040504,45.83,54.17,39.69,26.71,12.02,1.08
20040427,44.3,55.7,38.84,25.92,10.56,0.83
20040420,42.04,57.96,38.3,25.99,10.89,0.83
20040413,44.45,55.55,36.42,25.23,10.36,0.81
20040406,45.79,54.21,36.02,25.31,10.3,0.64
20040330,46.49,53.51,37.36,27.14,13.08,1.93
20040323,47.38,52.62,38.37,27.18,12.65,1.93
20040316,51.17,48.83,37.71,27.07,12.34,1.93
20040309,50.61,49.39,38.47,27.52,12.46,1.93
20040302,48.59,51.41,39.19,28.27,12.54,2.08
20040224,47.71,52.29,40.97,30.75,14.71,2.83
20040217,46.59,53.41,41.29,30.75,14.44,2.83
20040210,46.55,53.45,41.13,30.68,14.49,2.83
20040203,45.58,54.42,41.87,30.83,14.96,2.97
20040127,45.58,54.42,42.55,30.97,15.55,3.01
