Date,Index
01/12/2007,104.9707688
01/01/2008,109.4605508
01/02/2008,112.2300697
01/03/2008,113.9339842
01/04/2008,113.0995698
01/05/2008,115.2525874
01/06/2008,117.0407985
01/07/2008,119.3109273
01/08/2008,113.6618395
01/09/2008,112.013575
01/10/2008,99.27389361
01/11/2008,95.42920438
01/12/2008,88.8609986
01/01/2009,91.64209343
01/02/2009,88.16591219
01/03/2009,85.53851492
01/04/2009,88.80179105
01/05/2009,93.10399752
01/06/2009,91.60040512
01/07/2009,92.08085911
01/08/2009,96.01005787
01/09/2009,97.40739639
01/10/2009,100.9097964
01/11/2009,105.3329556
01/12/2009,110.633251
01/01/2010,113.530729
01/02/2010,113.827282
01/03/2010,119.0504642
01/04/2010,126.3995143
01/05/2010,124.0766126
01/06/2010,123.6879624
01/07/2010,120.1043265
01/08/2010,122.7888024
01/09/2010,129.1124699
01/10/2010,139.2994307
01/11/2010,148.5772976
01/12/2010,158.7240362
01/01/2011,171.7028941
01/02/2011,187.0615367
01/03/2011,183.965551
01/04/2011,186.6380953
01/05/2011,168.0779563
01/06/2011,167.5474646
01/07/2011,161.7015457
01/08/2011,152.9765454
01/09/2011,149.9164876
01/10/2011,142.3342744
01/11/2011,132.3491626
01/12/2011,128.1324767
01/01/2012,132.9591122
01/02/2012,137.6156858
01/03/2012,135.4130476
01/04/2012,135.7932404
01/05/2012,132.4991021
01/06/2012,123.9675741
01/07/2012,123.1000024
01/08/2012,119.955227
01/09/2012,122.9784911
01/10/2012,123.4009241
01/11/2012,122.4867577
01/12/2012,124.2207037
01/01/2013,126.7024333
01/02/2013,125.2296168
01/03/2013,123.777322
01/04/2013,123.1122353
01/05/2013,127.0043869
01/06/2013,124.7454335
01/07/2013,119.1208082
01/08/2013,119.9831064
01/09/2013,119.4630153
01/10/2013,118.6160829
01/11/2013,118.0384476
01/12/2013,121.2249167
01/01/2014,118.4112281
01/02/2014,118.2160461
01/03/2014,121.2464585
01/04/2014,118.377674
01/05/2014,116.8446337
01/06/2014,117.062812
01/07/2014,114.1108617
01/08/2014,108.9331158
01/09/2014,106.3138187
01/10/2014,104.7241266
01/11/2014,105.3919695
01/12/2014,105.1851665
01/01/2015,104.2002382
01/02/2015,105.5522201
01/03/2015,102.5317773
01/04/2015,104.1921091
01/05/2015,106.1292777
01/06/2015,103.6782432
01/07/2015,100.5027275
01/08/2015,97.37161601
01/09/2015,94.76354134
01/10/2015,95.08143393
01/11/2015,94.34680857
01/12/2015,93.79243084
01/01/2016,93.83166232
01/02/2016,94.45002364
01/03/2016,95.42538494
01/04/2016,100.3015562
01/05/2016,100.8946413
01/06/2016,100.5453717
01/07/2016,102.527253
01/08/2016,101.5679624
01/09/2016,101.448505
01/10/2016,100.6207014
01/11/2016,102.5415259
01/12/2016,105.8454122
01/01/2017,109.8615592
01/02/2017,111.4957675
01/03/2017,107.6950958
01/04/2017,107.9964514
01/05/2017,108.4967739
01/06/2017,103.4258083
01/07/2017,102.9410119
01/08/2017,103.0443095
01/09/2017,103.021634
01/10/2017,100.7500244
01/11/2017,101.7902783
01/12/2017,104.0837369
01/01/2018,109.8245727
01/02/2018,110.4410838
01/03/2018,110.6810507
01/04/2018,109.8493301
01/05/2018,110.0539774
01/06/2018,110.6630788
01/07/2018,108.8959304
01/08/2018,106.104901
01/09/2018,104.8951385
01/10/2018,103.1622375
01/11/2018,101.2145324
01/12/2018,104.102689
01/01/2019,104.2044223
01/02/2019,103.9389605
01/03/2019,105.4193244
01/04/2019,104.7642432
01/05/2019,105.7053194
01/06/2019,105.3111033
01/07/2019,101.5246309
01/08/2019,97.45997767
01/09/2019,97.27860725
01/10/2019,95.89439863
01/11/2019,99.21930546
01/12/2019,99.22172321
01/01/2020,102.0968166
01/02/2020,98.67681983
01/03/2020,95.83696091
01/04/2020,91.80851182
01/05/2020,91.46446976
01/06/2020,92.64745414
01/07/2020,93.04759274
01/08/2020,95.82730956
01/09/2020,97.05051119
01/10/2020,103.4799321
01/11/2020,108.7852158
01/12/2020,107.5904855
01/01/2021,110.4122058
01/02/2021,111.3084419
01/03/2021,114.4756032
01/04/2021,114.5992251
01/05/2021,117.9866031
01/06/2021,118.1672485
01/07/2021,112.3671709
01/08/2021,110.3893022
01/09/2021,108.252574
01/10/2021,113.0941189
01/11/2021,115.3593869
01/12/2021,114.1639295
01/01/2022,119.10997
01/02/2022,123.7003068
01/03/2022,133.2086509
01/04/2022,133.3217956
01/05/2022,134.699574
01/06/2022,130.4951824
01/07/2022,119.6145292
01/08/2022,117.6852001
01/09/2022,110.6204823
01/10/2022,104.8251316
01/11/2022,105.6183146
01/12/2022,105.8156778
01/01/2023,103.1943121
01/02/2023,103.8410312
01/03/2023,100.7981075
01/04/2023,100.0057352
01/05/2023,102.5922251
01/06/2023,99.72245638
01/07/2023,100.8576832
01/08/2023,100.5695555
01/09/2023,102.1951452
01/10/2023,100.6966002
01/11/2023,99.48601995
01/12/2023,100.8781268
01/01/2024,104.636175
01/02/2024,107.0870789
01/03/2024,112.6677551
01/04/2024,106.8420792
01/05/2024,104.1751247
01/06/2024,103.7649919
01/07/2024,100.7206748
01/08/2024,103.3648924
01/09/2024,107.7343859
01/10/2024,106.9131976
