Date,Average_Yield,Average_Production
2016-01-01,,28618240.191250943
2017-01-01,,29347928.935803067
2018-01-01,,33092212.060853124
2019-01-01,,29504229.132181544
2020-01-01,,28271886.96305164
2021-01-01,,36458511.49031107
