Date,Average_Yield,Average_Production
2016-01-01,,112395296.96786001
2017-01-01,,114918141.97987476
2018-01-01,,121694894.35282692
2019-01-01,,121316042.55379033
2020-01-01,,111796452.35777548
2021-01-01,,136283237.6506288
