Date,Average_Yield,Average_Production
2016-01-01,,19934588.625475444
2017-01-01,,13270873.932245135
2018-01-01,,18223267.12789941
2019-01-01,,20563601.87642077
2020-01-01,,19011918.32584428
2021-01-01,,14916237.08556878
